Entry	Entry name	Protein names	Gene names	Cross-reference (RefSeq)
B8I9E9	B8I9E9_RUMCH	Chloramphenicol acetyltransferase	Ccel_1049	WP_015924565.1;
B8I7I1	B8I7I1_RUMCH	Uncharacterized protein	Ccel_2746	WP_015926124.1;
B8I415	B8I415_RUMCH	Phosphate transport system permease protein	Ccel_2103	WP_015925549.1;
B8I9G2	B8I9G2_RUMCH	bPH_5 domain-containing protein	Ccel_1063	WP_015924578.1;
B8HZW0	B8HZW0_RUMCH	Cellulase (EC 3.2.1.4)	Ccel_1101	WP_015924616.1;
B8I239	B8I239_RUMCH	Uncharacterized protein	Ccel_1513	WP_015925006.1;
B8I755	B8I755_RUMCH	Uncharacterized protein	Ccel_0598	WP_015924148.1;
B8I2M1	B8I2M1_RUMCH	ROK family protein	Ccel_1663	WP_015925130.1;
B8I8T6	B8I8T6_RUMCH	Uncharacterized protein	Ccel_2974	WP_015926328.1;
B8I1J6	B8I1J6_RUMCH	Uncharacterized protein	Ccel_3342	WP_015926683.1;
B8I074	B8I074_RUMCH	Sodium/hydrogen exchanger	Ccel_3108	
B8I8V5	B8I8V5_RUMCH	LUD_dom domain-containing protein	Ccel_2993	WP_015926346.1;
B8I7J9	B8I7J9_RUMCH	Uncharacterized protein	Ccel_2772	
B8I830	B8I830_RUMCH	Phage portal protein, HK97 family	Ccel_2836	WP_015926201.1;
B8I094	B8I094_RUMCH	Uncharacterized protein	Ccel_3129	
B8I0D8	B8I0D8_RUMCH	Putative transcriptional regulator, XRE family	Ccel_3173	WP_015926522.1;
B8I7K9	B8I7K9_RUMCH	Uncharacterized protein	Ccel_2782	WP_015926152.1;
B8I003	B8I003_RUMCH	Copper amine oxidase domain protein	Ccel_1146	WP_015924658.1;
B8I1K3	B8I1K3_RUMCH	Uncharacterized protein	Ccel_3349	WP_015926690.1;
B8I8Q8	B8I8Q8_RUMCH	Transcriptional regulator, BadM/Rrf2 family	Ccel_0924	WP_015924448.1;
B8I572	B8I572_RUMCH	Uncharacterized protein	Ccel_0265	
B8I7B0	B8I7B0_RUMCH	GerA spore germination protein	Ccel_0654	
B8I6Z8	B8I6Z8_RUMCH	Uncharacterized protein	Ccel_2668	WP_015926074.1;
B8I7J4	B8I7J4_RUMCH	Uncharacterized protein	Ccel_2767	
B8I228	B8I228_RUMCH	Uncharacterized protein	Ccel_1502	WP_015924995.1;
B8I0W5	B8I0W5_RUMCH	Biotin transporter	Ccel_3231	WP_015926579.1;
B8I7P0	B8I7P0_RUMCH	Uncharacterized protein	Ccel_2817	
B8I159	B8I159_RUMCH	Uncharacterized protein	Ccel_3326	WP_015926667.1;
B8I7K1	B8I7K1_RUMCH	Uncharacterized protein	Ccel_2774	WP_015926144.1;
B8I465	B8I465_RUMCH	Alpha/beta hydrolase fold-3 domain protein	Ccel_2156	WP_015925594.1;
B8I6Q3	B8I6Q3_RUMCH	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83)	Ccel_2567	WP_015925982.1;
B8I607	B8I607_RUMCH	Major facilitator superfamily MFS_1	Ccel_2443	
B8I6F2	B8I6F2_RUMCH	Carbamoyltransferase (EC 6.2.-.-)	Ccel_0462	WP_012634906.1;
B8I8R7	B8I8R7_RUMCH	Uncharacterized phage protein	Ccel_2955	WP_015926314.1;
B8I2C2	B8I2C2_RUMCH	Uncharacterized protein	Ccel_1563	WP_015925055.1;
B8I6T7	B8I6T7_RUMCH	Uncharacterized protein	Ccel_2601	
B8I795	B8I795_RUMCH	Short-chain dehydrogenase/reductase SDR	Ccel_0638	WP_015924188.1;
B8I0A5	B8I0A5_RUMCH	Uncharacterized protein	Ccel_3140	WP_015926489.1;
B8HZU5	B8HZU5_RUMCH	Uncharacterized protein	Ccel_1086	
B8I5R9	B8I5R9_RUMCH	GtrA family protein	Ccel_0350	WP_012634800.1;
B8I671	B8I671_RUMCH	Uncharacterized protein	Ccel_2508	WP_015925925.1;
B8I6B8	B8I6B8_RUMCH	Uncharacterized protein	Ccel_2555	
B8I4X9	B8I4X9_RUMCH	Uncharacterized protein	Ccel_2296	WP_015925725.1;
B8I092	B8I092_RUMCH	P-loop_TraG domain-containing protein	Ccel_3127	WP_015926476.1;
B8I5K7	B8I5K7_RUMCH	Twitching motility protein	Ccel_2413	WP_015925832.1;
B8I5G7	B8I5G7_RUMCH	Radical SAM domain protein	Ccel_2370	WP_015925794.1;
B8I5S8	B8I5S8_RUMCH	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Ccel_0360	WP_012634809.1;
B8I779	B8I779_RUMCH	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	Ccel_0622	WP_015924172.1;
B8I2P0	B8I2P0_RUMCH	Uncharacterized protein	Ccel_1682	WP_015925148.1;
B8I5D3	B8I5D3_RUMCH	Cyclic peptide transporter	Ccel_2333	WP_015925761.1;
B8I7A2	B8I7A2_RUMCH	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	cobS Ccel_0645	WP_015924195.1;
B8HZZ7	B8HZZ7_RUMCH	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	Ccel_1140	
B8I041	B8I041_RUMCH	Cobalt ABC transporter, ATPase subunit	Ccel_1184	WP_015924694.1;
B8I1Z1	B8I1Z1_RUMCH	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase)	Ccel_1463	WP_015924959.1;
B8I1J3	B8I1J3_RUMCH	Uncharacterized protein	Ccel_3339	WP_015926680.1;
B8I0L1	B8I0L1_RUMCH	Beta-xylanase (EC 3.2.1.8)	Ccel_1230	WP_015924735.1;
B8I1Z9	B8I1Z9_RUMCH	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	bipA Ccel_1471	
B8I6S6	B8I6S6_RUMCH	ErfK/YbiS/YcfS/YnhG family protein	Ccel_2590	WP_015926005.1;
B8I131	B8I131_RUMCH	Terminase small subunit	Ccel_3298	WP_015926641.1;
B8I847	B8I847_RUMCH	Uncharacterized protein	Ccel_2853	WP_000658732.1;
B8I0F0	B8I0F0_RUMCH	Cysteine synthase (EC 2.5.1.47)	Ccel_3186	WP_015926534.1;
B8I7C7	B8I7C7_RUMCH	4'-phosphopantetheinyl transferase	Ccel_0671	WP_015924220.1;
B8I2I0	B8I2I0_RUMCH	3-isopropylmalate dehydratase, small subunit	Ccel_1621	WP_015925089.1;
B8I8D0	B8I8D0_RUMCH	PMT_2 domain-containing protein	Ccel_2936	WP_015926297.1;
B8I8G2	B8I8G2_RUMCH	DUF402 domain-containing protein	Ccel_0817	WP_015924357.1;
B8I454	B8I454_RUMCH	Fascin family protein	Ccel_2144	WP_015925585.1;
B8I2U0	B8I2U0_RUMCH	Uncharacterized protein	Ccel_1732	WP_015925198.1;
B8I5S7	B8I5S7_RUMCH	Uncharacterized protein	Ccel_0359	WP_012634808.1;
B8I6G8	B8I6G8_RUMCH	Penicillin-binding protein transpeptidase	Ccel_0478	WP_012634922.1;
B8I5Q9	B8I5Q9_RUMCH	Transcriptional regulator, CarD family	Ccel_0340	WP_012634790.1;
B8I1N9	B8I1N9_RUMCH	Uncharacterized protein	Ccel_3386	WP_015926726.1;
B8I4S4	B8I4S4_RUMCH	NADH-quinone oxidoreductase, E subunit	Ccel_2236	WP_015925670.1;
B8I6J6	B8I6J6_RUMCH	Flp1_like domain-containing protein	Ccel_0506	
B8I3J3	B8I3J3_RUMCH	Glycosyl transferase family 2	Ccel_1988	WP_015925440.1;
B8I1B4	B8I1B4_RUMCH	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	Ccel_1358	WP_015924860.1;
B8I629	B8I629_RUMCH	ATPase, P-type (Transporting), HAD superfamily, subfamily IC	Ccel_2465	WP_015925883.1;
B8I077	B8I077_RUMCH	Uncharacterized protein	Ccel_3112	
B8I691	B8I691_RUMCH	Drug resistance transporter, EmrB/QacA subfamily	Ccel_2528	WP_015925945.1;
B8I996	B8I996_RUMCH	Putative sensor with HAMP domain	Ccel_0994	WP_015924513.1;
B8I6U3	B8I6U3_RUMCH	Uncharacterized protein	Ccel_2607	WP_015926022.1;
B8I0C0	B8I0C0_RUMCH	Uncharacterized protein	Ccel_3155	WP_015926504.1;
B8I8W9	B8I8W9_RUMCH	Ferric uptake regulator, Fur family	Ccel_3007	WP_015926360.1;
B8I214	B8I214_RUMCH	Peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin	Ccel_1487	WP_015924981.1;
B8I0A0	B8I0A0_RUMCH	Uncharacterized protein	Ccel_3135	
B8I0A1	B8I0A1_RUMCH	Uncharacterized protein	Ccel_3136	
B8I3V8	B8I3V8_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_0047	WP_012634502.1;
B8I7U1	B8I7U1_RUMCH	Flagellar biosynthesis protein	Ccel_0719	WP_015924265.1;
B8I3U9	B8I3U9_RUMCH	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def Ccel_0038	WP_012634493.1;
B8I3K2	B8I3K2_RUMCH	Ferrous iron transport protein B	Ccel_1997	WP_015925449.1;
B8I2N1	B8I2N1_RUMCH	Short-chain dehydrogenase/reductase SDR	Ccel_1673	WP_015925139.1;
B8I722	B8I722_RUMCH	Uncharacterized protein	Ccel_0564	WP_015924118.1;
B8I5S1	B8I5S1_RUMCH	UV-endonuclease UvdE	Ccel_0352	WP_012634802.1;
B8I279	B8I279_RUMCH	LTD domain-containing protein	Ccel_1553	WP_015925045.1;
B8I4A5	B8I4A5_RUMCH	SEC-C motif domain protein	Ccel_0071	
B8I543	B8I543_RUMCH	Transcriptional regulator, ArsR family	Ccel_0236	WP_012634688.1;
B8I7C2	B8I7C2_RUMCH	Cell envelope-related transcriptional attenuator	Ccel_0666	WP_015924215.1;
B8I7F9	B8I7F9_RUMCH	pPIWI_RE_REase domain-containing protein	Ccel_2719	WP_015926102.1;
B8I096	B8I096_RUMCH	PKD domain-containing protein	Ccel_3131	WP_015926480.1;
B8I023	B8I023_RUMCH	Uncharacterized protein	Ccel_1166	WP_015924676.1;
B8I6I3	B8I6I3_RUMCH	Methyl-accepting chemotaxis sensory transducer	Ccel_0493	WP_012634937.1;
B8I1A7	B8I1A7_RUMCH	Uncharacterized protein	Ccel_1351	WP_015924853.1;
B8I4Z6	B8I4Z6_RUMCH	CheW protein	Ccel_2314	WP_015925742.1;
B8HZU4	B8HZU4_RUMCH	Uncharacterized protein	Ccel_1085	WP_015924600.1;
B8I1M6	B8I1M6_RUMCH	Sporulation integral membrane protein YtvI	Ccel_3372	WP_015926713.1;
B8I209	B8I209_RUMCH	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	cas1 Ccel_1482	WP_015924976.1;
B8I8Y3	B8I8Y3_RUMCH	Uncharacterized protein	Ccel_3023	WP_015926374.1;
B8HZX4	B8HZX4_RUMCH	Uncharacterized protein	Ccel_1116	WP_015924630.1;
B8I4L4	B8I4L4_RUMCH	Uncharacterized protein	Ccel_0180	WP_012634633.1;
B8I8L2	B8I8L2_RUMCH	Radical SAM domain protein	Ccel_0873	WP_015924405.1;
B8I195	B8I195_RUMCH	Propeptide PepSY amd peptidase M4	Ccel_1339	WP_015924841.1;
B8I4U8	B8I4U8_RUMCH	Uncharacterized protein	Ccel_2263	WP_015925694.1;
B8I1Q6	B8I1Q6_RUMCH	Uncharacterized protein	Ccel_3403	
B8I7P9	B8I7P9_RUMCH	Uncharacterized protein	Ccel_2826	
B8I704	B8I704_RUMCH	Mutator family transposase	Ccel_2675	WP_015926079.1;
B8I4U9	B8I4U9_RUMCH	Biotin_lipoyl_2 domain-containing protein	Ccel_2264	
B8I129	B8I129_RUMCH	Putative phage minor capsid protein	Ccel_3296	WP_015926639.1;
B8I0K4	B8I0K4_RUMCH	Periplasmic binding protein/LacI transcriptional regulator	Ccel_1223	WP_015924728.1;
B8I053	B8I053_RUMCH	Single-stranded DNA-binding protein (SSB)	Ccel_3087	
B8I8X8	B8I8X8_RUMCH	Uncharacterized protein	Ccel_3018	
B8I4G9	B8I4G9_RUMCH	Uncharacterized protein	Ccel_0135	WP_012634589.1;
B8I5E0	B8I5E0_RUMCH	Uncharacterized protein	Ccel_2340	WP_015925768.1;
B8I2F6	B8I2F6_RUMCH	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	Ccel_1597	WP_015925065.1;
B8I2Y1	B8I2Y1_RUMCH	Glycosyl transferase group 1	Ccel_1773	WP_015925239.1;
B8I4G4	B8I4G4_RUMCH	Uncharacterized protein	Ccel_0130	WP_012634584.1;
B8I3T7	B8I3T7_RUMCH	GCN5-related N-acetyltransferase	Ccel_0026	WP_012634481.1;
B8I4Z4	B8I4Z4_RUMCH	DUF1540 domain-containing protein	Ccel_2311	
B8I6P6	B8I6P6_RUMCH	Pyruvate ferredoxin/flavodoxin oxidoreductase	Ccel_0556	WP_015924110.1;
B8I633	B8I633_RUMCH	Uncharacterized protein	Ccel_2470	
B8I0P4	B8I0P4_RUMCH	GntR domain protein	Ccel_1263	WP_015924768.1;
B8I641	B8I641_RUMCH	FHA domain containing protein	Ccel_2478	WP_015925895.1;
B8I9D4	B8I9D4_RUMCH	Short-chain dehydrogenase/reductase SDR	Ccel_1032	WP_015924550.1;
B8I546	B8I546_RUMCH	Uncharacterized protein	Ccel_0239	WP_012634691.1;
B8I5E9	B8I5E9_RUMCH	Radical SAM domain protein	Ccel_2351	WP_015925777.1;
B8I773	B8I773_RUMCH	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB Ccel_0616	WP_015924166.1;
B8I787	B8I787_RUMCH	Transcriptional regulator, LysR family	Ccel_0630	WP_015924180.1;
B8I6L2	B8I6L2_RUMCH	Spore germination protein	Ccel_0522	WP_015924077.1;
B8HZZ2	B8HZZ2_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_1135	WP_015924647.1;
B8I4I5	B8I4I5_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_0151	WP_012634605.1;
B8I8W2	B8I8W2_RUMCH	Transcriptional regulator, LacI family	Ccel_3000	WP_015926353.1;
B8I4V7	B8I4V7_RUMCH	Uncharacterized protein	Ccel_2274	WP_015925703.1;
B8I8P8	B8I8P8_RUMCH	Amidohydrolase 3	Ccel_0909	
B8I0F4	B8I0F4_RUMCH	bPH_1 domain-containing protein	Ccel_3190	WP_015926538.1;
B8I033	B8I033_RUMCH	Uncharacterized protein	Ccel_1176	WP_015924686.1;
B8I684	B8I684_RUMCH	Uncharacterized protein	Ccel_2521	WP_015925938.1;
B8I249	B8I249_RUMCH	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	Ccel_1523	WP_015925016.1;
B8HZW7	B8HZW7_RUMCH	DUF1858 domain-containing protein	Ccel_1108	WP_015924623.1;
B8I147	B8I147_RUMCH	Uncharacterized protein	Ccel_3314	WP_015926655.1;
B8I3X9	B8I3X9_RUMCH	Uncharacterized protein	Ccel_2066	WP_015925514.1;
B8I4F5	B8I4F5_RUMCH	Uncharacterized protein	Ccel_0121	WP_012634575.1;
B8I1K7	B8I1K7_RUMCH	Uncharacterized protein	Ccel_3353	
B8I2T2	B8I2T2_RUMCH	Radical SAM domain protein	Ccel_1724	WP_015925190.1;
B8I8X2	B8I8X2_RUMCH	Uncharacterized protein	Ccel_3010	WP_015926363.1;
B8I3M6	B8I3M6_RUMCH	Uncharacterized protein	Ccel_2023	WP_015925471.1;
B8I718	B8I718_RUMCH	Histidine kinase (EC 2.7.13.3)	Ccel_0560	WP_015924114.1;
B8I6K1	B8I6K1_RUMCH	FHA domain containing protein	Ccel_0511	WP_012634955.1;
B8I0D0	B8I0D0_RUMCH	Uncharacterized protein	Ccel_3165	WP_015926514.1;
B8I5P2	B8I5P2_RUMCH	NifU-like domain-containing protein	Ccel_0322	WP_012634774.1;
B8I7U8	B8I7U8_RUMCH	SNARE associated Golgi protein	Ccel_0726	WP_015924272.1;
B8I5E7	B8I5E7_RUMCH	Uncharacterized protein	Ccel_2349	WP_015925775.1;
B8I890	B8I890_RUMCH	Uncharacterized protein	Ccel_2896	WP_015926257.1;
B8I3Y8	B8I3Y8_RUMCH	Anti-sigma-W factor RsiW	Ccel_2076	WP_015925523.1;
B8I064	B8I064_RUMCH	Exopolysaccharide biosynthesis protein	Ccel_3098	WP_015926448.1;
B8I136	B8I136_RUMCH	Uncharacterized protein	Ccel_3303	WP_015926646.1;
B8I8B9	B8I8B9_RUMCH	Putative transcriptional regulator, CopG family	Ccel_2925	WP_015926286.1;
B8I4G5	B8I4G5_RUMCH	Cyanophycinase (EC 3.4.15.6)	Ccel_0131	WP_012634585.1;
B8I5T4	B8I5T4_RUMCH	DNA polymerase LigD, polymerase domain protein	Ccel_0366	WP_012634815.1;
B8I1V3	B8I1V3_RUMCH	Dehydrogenase E1 component	Ccel_3450	WP_015926790.1;
B8I897	B8I897_RUMCH	Small acid-soluble spore protein beta	Ccel_2903	WP_015926264.1;
B8I3P3	B8I3P3_RUMCH	Flagellar protein FliL	Ccel_2040	WP_015925488.1;
B8I9A7	B8I9A7_RUMCH	Transcriptional regulator, LacI family	Ccel_1005	
B8I345	B8I345_RUMCH	Uncharacterized protein	Ccel_1840	WP_015925294.1;
B8I011	B8I011_RUMCH	Histidine kinase (EC 2.7.13.3)	Ccel_1154	WP_015924666.1;
B8I1Q3	B8I1Q3_RUMCH	Glucose-1-phosphate adenylyltransferase, GlgD subunit	Ccel_3400	WP_015926740.1;
B8I591	B8I591_RUMCH	Uncharacterized protein	Ccel_0284	WP_012634736.1;
B8I413	B8I413_RUMCH	Phosphate-binding protein	Ccel_2101	WP_015925547.1;
B8I5G2	B8I5G2_RUMCH	Zn_dep_PLPC domain-containing protein	Ccel_2365	WP_015925789.1;
B8I0E0	B8I0E0_RUMCH	Uncharacterized protein	Ccel_3175	WP_015926524.1;
B8I4M9	B8I4M9_RUMCH	Uncharacterized protein	Ccel_2191	WP_015925628.1;
B8I0C1	B8I0C1_RUMCH	Uncharacterized protein	Ccel_3156	WP_015926505.1;
B8I474	B8I474_RUMCH	Uncharacterized protein	Ccel_2165	WP_015925602.1;
B8I331	B8I331_RUMCH	Uncharacterized protein	Ccel_1825	WP_015925284.1;
B8I4T4	B8I4T4_RUMCH	Ribonuclease R (RNase R) (EC 3.1.13.1)	rnr Ccel_2247	WP_015925680.1;
B8I1R0	B8I1R0_RUMCH	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase)	Ccel_3407	WP_015926747.1;
B8I123	B8I123_RUMCH	Uncharacterized protein	Ccel_3290	WP_015926635.1;
B8I6Z3	B8I6Z3_RUMCH	Transport system permease protein	Ccel_2662	
B8I4D7	B8I4D7_RUMCH	Uncharacterized protein	Ccel_0103	WP_012634557.1;
B8I749	B8I749_RUMCH	Transcriptional regulator, MerR family	Ccel_0592	WP_015924142.1;
B8I6J9	B8I6J9_RUMCH	Uncharacterized protein	Ccel_0509	WP_012634953.1;
B8I479	B8I479_RUMCH	SAM dependent methyltransferase	Ccel_2170	WP_015925607.1;
B8I4F2	B8I4F2_RUMCH	Uncharacterized protein	Ccel_0118	
B8I5J2	B8I5J2_RUMCH	Cellulase (EC 3.2.1.4)	Ccel_2395	WP_015925817.1;
B8I3A6	B8I3A6_RUMCH	Uncharacterized protein	Ccel_1901	WP_015925354.1;
B8I2P2	B8I2P2_RUMCH	Aminotransferase class V	Ccel_1684	WP_015925150.1;
B8I0W6	B8I0W6_RUMCH	Uncharacterized protein	Ccel_3232	WP_015926580.1;
B8I701	B8I701_RUMCH	Glyoxalase-like_dom domain-containing protein	Ccel_2671	WP_015926077.1;
B8I0D2	B8I0D2_RUMCH	HNH endonuclease	Ccel_3167	
B8I771	B8I771_RUMCH	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF Ccel_0614	WP_015924164.1;
B8I7Q8	B8I7Q8_RUMCH	Acyl carrier protein (ACP)	acpP Ccel_0685	WP_015924234.1;
B8I618	B8I618_RUMCH	Glycoside hydrolase family 3 domain protein	Ccel_2454	WP_015925872.1;
B8I0F8	B8I0F8_RUMCH	Uncharacterized protein	Ccel_3194	WP_015926542.1;
B8I7V9	B8I7V9_RUMCH	Glucanase (EC 3.2.1.-)	Ccel_0737	WP_015924283.1;
B8I615	B8I615_RUMCH	Beta-galactosidase (Beta-gal) (EC 3.2.1.23)	Ccel_2451	
B8I564	B8I564_RUMCH	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	Ccel_0257	WP_012634709.1;
B8I7L9	B8I7L9_RUMCH	Uncharacterized protein	Ccel_2792	WP_015926162.1;
B8I7Q3	B8I7Q3_RUMCH	Phage protein, HK97 gp10 family	Ccel_2830	WP_015926195.1;
B8I582	B8I582_RUMCH	S-layer domain protein	Ccel_0275	WP_012634727.1;
B8I396	B8I396_RUMCH	Histidine kinase (EC 2.7.13.3)	Ccel_1891	WP_015925344.1;
B8I4H7	B8I4H7_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_0143	WP_012634597.1;
B8HZS3	B8HZS3_RUMCH	Uncharacterized protein	Ccel_1064	WP_015924579.1;
B8I6E8	B8I6E8_RUMCH	Ribosome-binding factor A	rbfA Ccel_0458	WP_012634902.1;
B8I4U0	B8I4U0_RUMCH	Protein-export membrane protein SecG	Ccel_2253	WP_015925686.1;
B8I8D8	B8I8D8_RUMCH	Peptidase M15B and M15C DD-carboxypeptidase VanY/endolysin	Ccel_2944	WP_015926305.1;
B8I699	B8I699_RUMCH	Uncharacterized protein	Ccel_2536	WP_015925953.1;
B8I1S1	B8I1S1_RUMCH	DUF4173 domain-containing protein	Ccel_3418	WP_015926758.1;
B8I6R7	B8I6R7_RUMCH	Pyruvate formate-lyase-activating enzyme (EC 1.97.1.4)	Ccel_2581	WP_015925996.1;
B8I5S9	B8I5S9_RUMCH	Histidine kinase	Ccel_0361	WP_012634810.1;
B8I088	B8I088_RUMCH	Uncharacterized protein	Ccel_3123	
B8I581	B8I581_RUMCH	S-layer domain protein	Ccel_0274	WP_012634726.1;
B8I7P1	B8I7P1_RUMCH	N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD	Ccel_2818	WP_015926183.1;
B8I6W4	B8I6W4_RUMCH	Uncharacterized protein	Ccel_2629	WP_015926040.1;
B8I494	B8I494_RUMCH	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE Ccel_2185	WP_015925622.1;
B8I821	B8I821_RUMCH	Peptidase M22 glycoprotease	Ccel_0800	WP_015924340.1;
B8I8Y4	B8I8Y4_RUMCH	Uncharacterized protein	Ccel_3024	
B8I554	B8I554_RUMCH	Histidine kinase (EC 2.7.13.3)	Ccel_0247	WP_012634699.1;
B8I6H9	B8I6H9_RUMCH	Putative serine protein kinase, PrkA	Ccel_0489	WP_012634933.1;
B8I0I8	B8I0I8_RUMCH	Uncharacterized protein	Ccel_1206	
B8I5E5	B8I5E5_RUMCH	Uncharacterized protein	Ccel_2345	WP_015925773.1;
B8I6M1	B8I6M1_RUMCH	Preprotein translocase, YajC subunit	Ccel_0531	WP_015924086.1;
B8I5Z3	B8I5Z3_RUMCH	Resolvase domain protein	Ccel_0427	WP_012634872.1;
B8I111	B8I111_RUMCH	Uncharacterized protein	Ccel_3278	WP_015926625.1;
B8I4S3	B8I4S3_RUMCH	Histidine kinase	Ccel_2235	WP_015925669.1;
B8I6J1	B8I6J1_RUMCH	Uncharacterized protein	Ccel_0501	WP_012634945.1;
B8I2S3	B8I2S3_RUMCH	Copper ion binding protein	Ccel_1715	WP_015925181.1;
B8I4W2	B8I4W2_RUMCH	CheC domain protein	Ccel_2279	WP_015925708.1;
B8HZT7	B8HZT7_RUMCH	Inner-membrane translocator	Ccel_1078	WP_015924593.1;
B8I676	B8I676_RUMCH	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmk Ccel_2513	WP_015925930.1;
B8I991	B8I991_RUMCH	FkbH like protein	Ccel_0989	WP_015924508.1;
B8I9F6	B8I9F6_RUMCH	Uncharacterized protein	Ccel_1056	WP_015924572.1;
B8I0Z2	B8I0Z2_RUMCH	Aminotransferase class-III	Ccel_3259	WP_015926606.1;
B8I0V6	B8I0V6_RUMCH	Uncharacterized protein	Ccel_3222	WP_015926570.1;
B8I8B6	B8I8B6_RUMCH	Uncharacterized protein	Ccel_2922	WP_015926283.1;
B8I2A7	B8I2A7_RUMCH	ParB-like partition protein	Ccel_3483	WP_015926822.1;
B8I1C8	B8I1C8_RUMCH	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS Ccel_1372	WP_015924874.1;
B8I2K0	B8I2K0_RUMCH	Periplasmic binding protein/LacI transcriptional regulator	Ccel_1642	WP_015925109.1;
B8I5G0	B8I5G0_RUMCH	Uncharacterized protein	Ccel_2362	WP_015925787.1;
B8I5F7	B8I5F7_RUMCH	Uncharacterized protein	Ccel_2359	
B8I375	B8I375_RUMCH	Thioesterase superfamily protein	Ccel_1870	WP_015925323.1;
B8I6P9	B8I6P9_RUMCH	Cell shape-determining protein MreB	mreB Ccel_2563	WP_015925978.1;
B8I949	B8I949_RUMCH	Binding-protein-dependent transport systems inner membrane component	Ccel_0946	WP_015924466.1;
B8I4K6	B8I4K6_RUMCH	Uncharacterized protein	Ccel_0172	WP_012634625.1;
B8I0B4	B8I0B4_RUMCH	Uncharacterized protein	Ccel_3149	WP_015926498.1;
B8I1L9	B8I1L9_RUMCH	Hydrogenase maturation factor HypA	hypA Ccel_3365	WP_015926706.1;
B8I3H5	B8I3H5_RUMCH	Spore germination protein	Ccel_1970	WP_015925422.1;
B8I0U4	B8I0U4_RUMCH	Lipolytic protein G-D-S-L family	Ccel_3210	WP_015926558.1;
B8I344	B8I344_RUMCH	Peptidase U35 phage prohead HK97	Ccel_1839	WP_015925293.1;
B8I0T9	B8I0T9_RUMCH	Dihydrofolate reductase (EC 1.5.1.3)	Ccel_1310	WP_015924812.1;
B8I3G5	B8I3G5_RUMCH	YhgE/Pip C-terminal domain protein	Ccel_1960	WP_015925412.1;
B8I189	B8I189_RUMCH	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP	Ccel_1333	WP_015924835.1;
B8I7C9	B8I7C9_RUMCH	NAD-dependent epimerase/dehydratase	Ccel_0673	WP_015924222.1;
B8I5T3	B8I5T3_RUMCH	DNA ligase (ATP) (EC 6.5.1.1)	Ccel_0365	WP_012634814.1;
B8I8C7	B8I8C7_RUMCH	O-antigen polymerase	Ccel_2933	WP_015926294.1;
B8I781	B8I781_RUMCH	Radical SAM domain protein	Ccel_0624	WP_015924174.1;
B8I365	B8I365_RUMCH	Rhomboid family protein	Ccel_1860	WP_015925313.1;
B8I5T8	B8I5T8_RUMCH	Ribosome hibernation promoting factor (HPF)	hpf Ccel_0370	WP_012634818.1;
B8I3E5	B8I3E5_RUMCH	Nucleotidyl transferase	Ccel_1940	WP_015925392.1;
B8I8W6	B8I8W6_RUMCH	Uncharacterized protein	Ccel_3004	WP_015926357.1;
B8I0X0	B8I0X0_RUMCH	Uncharacterized protein	Ccel_3236	WP_015926584.1;
B8I818	B8I818_RUMCH	Iron dependent repressor	Ccel_0797	WP_015924337.1;
