reaction	GPR	score	normalized_score
R_FE2abc	(WP_015926067.1 or WP_015926068.1 or WP_015926550.1)	248.0	0.9
R_FE2t	(WP_015924432.1 or WP_015925453.1 or WP_242651744.1 or WP_242651750.1)	313.0	1.1
R_FE2t4pp	WP_015924432.1	37.0	0.1
R_FE3DCITCH	spontaneous	0.0	0.0
R_FE3DCITabcpp	WP_015926550.1	41.5	0.2
R_FE3DCITexs	spontaneous	0.0	0.0
R_FE3DHBZSabcpp	WP_015926550.1	39.75	0.1
R_FE3Gabcpp	WP_015925449.1	342.0	1.2
R_FE3PYOVDL2	spontaneous	0.0	0.0
R_FE3abc	((WP_015924412.1 and WP_015924412.1) or (WP_015926550.1 and WP_015926551.1) or WP_015924690.1 or WP_015926550.1 or WP_015926551.1)	158.0	0.6
R_FEDCabc	WP_015926551.1	61.666666666666664	0.2
R_FEENTER2tpp	WP_015924701.1	219.0	0.8
R_FEENTERabcpp	WP_015926550.1	39.75	0.1
R_FEENTERexs	spontaneous	0.0	0.0
R_FEOXAMexs	spontaneous	0.0	0.0
R_FESD1s	spontaneous	0.0	0.0
R_FESD2s	spontaneous	0.0	0.0
R_FGFT_1	WP_015925619.1	197.0	0.7
R_FMNAT	WP_012634905.1	212.0	0.8
R_FMNt	WP_012634885.1	203.0	0.7
R_FNRR3	WP_015925729.1	116.0	0.4
R_FOLD3	WP_015924832.1	284.0	1.0
R_FOLR2	WP_015924812.1	184.0	0.7
R_FRTT	(WP_015925019.1 or WP_015925355.1)	255.0	0.9
R_FTHFCL	WP_015925601.1	116.0	0.4
R_FTHFLi	WP_012634473.1	735.0	2.7
R_FUM	((WP_015925840.1 and WP_015925841.1) or WP_015925841.1)	293.5	1.1
R_G1PACT	(WP_015924489.1 or WP_015926443.1)	172.0	0.6
R_G1PP	WP_015925642.1	140.0	0.5
R_G1SAT	WP_015924785.1	478.0	1.7
R_G2PP	WP_015925888.1	160.0	0.6
R_G3PAT120	WP_174258518.1	284.0	1.0
R_G3PAT160	(WP_015925574.1 or WP_174258518.1)	284.0	1.0
R_G3PAT161	(WP_015925574.1 or WP_174258518.1)	284.0	1.0
R_G3PAT180	(WP_015925574.1 or WP_174258518.1)	284.0	1.0
R_G3PAT181	(WP_015925574.1 or WP_174258518.1)	284.0	1.0
R_G3PD1ir	WP_015925573.1	330.0	1.2
R_G3PD2	WP_015925573.1	357.0	1.3
R_G5SADs	spontaneous	0.0	0.0
R_G5SD	WP_015926009.1	399.0	1.5
R_G5SD2	WP_015926009.1	399.0	1.5
R_G6PI	WP_015924943.1	637.0	2.3
R_GAL6PI	WP_012634711.1	88.0	0.3
R_GALCTLO	WP_015924473.1	172.0	0.6
R_GALK2	WP_015926586.1	295.0	1.1
R_GALKr	WP_015926586.1	315.0	1.1
R_GALM1	WP_015924930.1	285.0	1.0
R_GALM2	WP_015924930.1	284.0	1.0
R_GALMAN4	WP_015924376.1	58.25	0.2
R_GALMAN4abc	(WP_015925230.1 and WP_015925231.1)	134.0	0.5
R_GALMAN6	WP_015924376.1	58.25	0.2
R_GALMAN6abc	(WP_015925230.1 and WP_015925231.1)	134.0	0.5
R_GALS3	(WP_015924521.1 or WP_015924523.1 or WP_015926766.1)	570.0	2.1
R_GALT	WP_015925701.1	464.0	1.7
R_GALUi	(WP_015924489.1 or WP_015926747.1)	420.0	1.5
R_GALabcpp	((WP_015924728.1 and WP_015924730.1 and WP_015924731.1 and WP_174258523.1) or (WP_015924728.1 and WP_015924730.1 and WP_015924731.1) or (WP_015924730.1 and WP_174258523.1) or WP_015924906.1)	293.0	1.1
R_GALt2_3	WP_041706401.1	140.0	0.5
R_GAPD	WP_015925704.1	488.0	1.8
R_GARFT	WP_015925619.1	201.0	0.7
R_GART	WP_015925619.1	197.0	0.7
R_GBBTNabc	WP_012634647.1	34.0	0.1
R_GBDM	WP_015924622.1	77.5	0.3
R_GDOCBIK	WP_015924194.1	179.0	0.7
R_GDPDPK	WP_015925403.1	806.0	2.9
R_GDPDPKE	WP_015925403.1	806.0	2.9
R_GF6PTA	WP_015924714.1	758.0	2.8
R_GG15DAPAH	WP_015926697.1	126.0	0.5
R_GGDAPAH	WP_015926697.1	126.0	0.5
R_GGGABAH	WP_015926697.1	126.0	0.5
R_GGTT	(WP_015925019.1 or WP_015925355.1)	255.0	0.9
R_GHMT2r	WP_015925146.1	551.0	2.0
R_GK1	WP_207635556.1	206.0	0.8
R_GK2	WP_207635556.1	206.0	0.8
R_GLBRAN2	WP_012634508.1	819.0	3.0
R_GLCAt2	WP_041706401.1	140.0	0.5
R_GLCMAN4	WP_015924376.1	77.66666666666667	0.3
R_GLCMAN4abc	(WP_015925230.1 and WP_015925231.1)	134.0	0.5
R_GLCMAN6	WP_015924376.1	77.66666666666667	0.3
R_GLCMAN6abc	(WP_015925230.1 and WP_015925231.1)	134.0	0.5
R_GLCURS1	WP_012634595.1	783.0	2.9
R_GLCabc	((WP_012634654.1 and WP_041706401.1) or (WP_015924545.1 and WP_015924646.1) or WP_242651738.1)	83.66666666666667	0.3
R_GLCabcpp	WP_015924906.1	102.0	0.4
R_GLGC	(WP_015926740.1 or WP_015926741.1)	412.0	1.5
R_GLNS_1	WP_015924115.1	652.0	2.4
R_GLNabc	((WP_015924419.1 and WP_015925098.1) or WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_GLNabcpp	(WP_015924419.1 or WP_015926268.1)	120.5	0.4
R_GLS	(WP_012634655.1 or WP_015925872.1)	373.0	1.4
R_GLS2	(WP_012634655.1 or WP_015925872.1)	373.0	1.4
R_GLTPD	(WP_015924526.1 or WP_015924547.1 or WP_015926572.1)	293.0	1.1
R_GLU5K	WP_015926239.1	266.0	1.0
R_GLUDC	WP_015924557.1	129.0	0.5
R_GLUDy	WP_015925849.1	582.0	2.1
R_GLUKA_1	WP_015924247.1	159.0	0.6
R_GLUN	(WP_015924165.1 or WP_015924166.1 or WP_015925637.1 or WP_015925962.1)	1308.0	4.8
R_GLUPRT	WP_015925621.1	514.0	1.9
R_GLUR	WP_015926742.1	261.0	1.0
R_GLUSx	WP_015925962.1	551.0	2.0
R_GLUSy	WP_015925962.1	551.0	2.0
R_GLUTRR	WP_015924779.1	149.0	0.5
R_GLUTRS	WP_015925581.1	617.0	2.3
R_GLUabc	((WP_015926002.1 and WP_015926003.1) or WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_GLUabcpp	(WP_015924690.1 or WP_015925098.1)	28.75	0.1
R_GLYBabc	((WP_015925751.1 and WP_015926674.1 and WP_015926675.1) or WP_012634647.1 or WP_015925751.1)	362.6666666666667	1.3
R_GLYC3Pabc	((WP_015924519.1 and WP_015924646.1) or WP_012634654.1)	64.5	0.2
R_GLYCK	WP_015926026.1	287.0	1.0
R_GLYCK2	WP_015926026.1	261.0	1.0
R_GLYCK_1	WP_015926026.1	270.0	1.0
R_GLYCLTDx	WP_015926765.1	205.0	0.7
R_GLYCLTt2rpp	WP_015925223.1	107.0	0.4
R_GLYCS_I	WP_015924384.1	103.0	0.4
R_GLYCYSAP	WP_015925375.1	318.0	1.2
R_GLYCtpp	spontaneous	0.0	0.0
R_GLYGLNabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_GLYGLUabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_GLYGLYabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_GLYK	(WP_015924549.1 or WP_015926010.1)	619.0	2.3
R_GLYK1	WP_015926010.1	578.0	2.1
R_GLYLEUAP	WP_015925375.1	318.0	1.2
R_GLYMETabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_GLYPHEAP	WP_015925375.1	318.0	1.2
R_GLYPHEabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_GLYSERabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_GLYTA	WP_015924698.1	316.0	1.2
R_GLYTYRAP	WP_015925375.1	318.0	1.2
R_GLYabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_GLYabcpp	WP_015925098.1	26.25	0.1
R_GLYt4	WP_015925915.1	220.0	0.8
R_GMPS	WP_015925637.1	699.0	2.6
R_GMPS2	WP_015925637.1	738.0	2.7
R_GRTT	WP_015925355.1	255.0	0.9
R_GTHRDabcpp	(WP_015924158.1 and WP_015925233.1)	78.25	0.3
R_GTHRDt2_1	(WP_015925233.1 or WP_015925751.1 or WP_015926002.1)	149.5	0.5
R_GTPCI	WP_015924830.1	159.0	0.6
R_GTPCII	WP_015925455.1	516.0	1.9
R_GTPCII2	WP_015925455.1	494.0	1.8
R_GTPDPK	WP_015925403.1	810.0	3.0
R_GTPDPK_1	WP_015926575.1	233.0	0.9
R_GTPHs	spontaneous	0.0	0.0
R_GUAPRT	(WP_012634538.1 or WP_012634860.1 or WP_015925404.1)	197.0	0.7
R_GUAt	WP_012634936.1	223.0	0.8
R_GUAt2r	WP_012634661.1	465.0	1.7
R_GUI1	WP_049756825.1	502.0	1.8
R_GUI2	WP_049756825.1	502.0	1.8
R_GalMr	WP_015924930.1	284.0	1.0
R_H2CD	WP_015925653.1	44.0	0.2
R_H2CO3D2	spontaneous	0.0	0.0
R_H2O2tex	spontaneous	0.0	0.0
R_H2Ot	spontaneous	0.0	0.0
R_H2Otex	spontaneous	0.0	0.0
R_H2Otpp	spontaneous	0.0	0.0
R_H2SO	spontaneous	0.0	0.0
R_H2St1	spontaneous	0.0	0.0
R_H2St1pp	spontaneous	0.0	0.0
R_H2tpp	spontaneous	0.0	0.0
R_HACD1	WP_015924505.1	228.0	0.8
R_HACD1_1	WP_015924505.1	225.0	0.8
R_HACD2	WP_015924505.1	228.0	0.8
R_HACD3	WP_015924505.1	228.0	0.8
R_HACD4	WP_015924505.1	228.0	0.8
R_HACD5	WP_015924505.1	228.0	0.8
R_HACD6	WP_015924505.1	228.0	0.8
R_HACD7	WP_015924505.1	228.0	0.8
R_HACD8	WP_015924505.1	228.0	0.8
R_HACD9	WP_015924233.1	260.0	0.9
R_HAMR	(WP_015924294.1 or WP_015924923.1)	803.0	2.9
R_HCO3E	spontaneous	0.0	0.0
R_HCYSMT	(WP_012634920.1 or WP_015925314.1)	264.0	1.0
R_HETZK	(WP_015925442.1 or WP_015926454.1)	468.0	1.7
R_HEX1	(WP_015924247.1 or WP_015926569.1 or WP_015926770.1)	189.0	0.7
R_HEX4	WP_015926569.1	189.0	0.7
R_HEX7	(WP_015924474.1 or WP_015926569.1)	196.0	0.7
R_HEXTT	WP_015925019.1	97.0	0.4
R_HISGLYabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_HISHISabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_HISTD	WP_012634830.1	461.0	1.7
R_HISTP	(WP_015925379.1 or WP_015925888.1)	199.0	0.7
R_HISabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_HISabcpp	(WP_015924419.1 or WP_015925098.1)	63.25	0.2
R_HMBS	WP_015924782.1	203.0	0.7
R_HMPK1	WP_015925444.1	262.0	1.0
R_HMPK2	WP_015925444.1	251.0	0.9
R_HMPK3	WP_015925444.1	251.0	0.9
R_HMPK4	WP_015925444.1	251.0	0.9
R_HMPSCD	WP_015924683.1	74.5	0.3
R_HPPK	WP_015924834.1	160.0	0.6
R_HPPK2	WP_015924834.1	146.0	0.5
R_HPPK2_1	WP_015924834.1	152.0	0.6
R_HPYRRx	(WP_015924699.1 or WP_015926765.1)	365.0	1.3
R_HPYRRy	WP_015924699.1	365.0	1.3
R_HSDy	WP_015924950.1	311.0	1.1
R_HSERTA	(WP_015926672.1 or WP_015926673.1)	587.0	2.1
R_HSST	WP_015926672.1	420.0	1.5
R_HSTPT	WP_012634831.1	226.0	0.8
R_HVCD	WP_015924505.1	228.0	0.8
R_HXANt2r	WP_012634661.1	465.0	1.7
R_HXPRT	WP_012634538.1	197.0	0.7
R_HYD1pp	(WP_015925152.1 and WP_015925153.1)	69.66666666666667	0.3
R_HYD2	(WP_012634909.1 and WP_015924585.1 and WP_015924586.1)	144.375	0.5
R_IBHH	WP_015926546.1	1367.0	5.0
R_ICDHyr	WP_015925991.1	493.0	1.8
R_ID6P	(WP_015925658.1 or WP_015926027.1)	346.0	1.3
R_IG3PS	((WP_012634834.1 and WP_012634836.1) or WP_012634834.1 or WP_012634836.1)	298.0	1.1
R_IG3PS_1	WP_012634836.1	293.0	1.1
R_IGPDH	WP_012634832.1	246.0	0.9
R_IGPS	WP_015926564.1	216.0	0.8
R_ILETA	(WP_015925267.1 or WP_041706692.1)	486.0	1.8
R_ILEabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_ILEabcpp	WP_015925098.1	26.25	0.1
R_IMPC	WP_015925618.1	582.0	2.1
R_IMPD	WP_012634842.1	740.0	2.7
R_IPDPS	WP_015925194.1	572.0	2.1
R_IPMD	(WP_012634582.1 or WP_015925982.1)	441.0	1.6
R_IPPMIa	((WP_012634580.1 and WP_012634581.1) or (WP_015925089.1 and WP_015925090.1))	454.5	1.7
R_IPPMIb	((WP_012634580.1 and WP_012634581.1) or (WP_015925089.1 and WP_015925090.1))	454.5	1.7
R_IPPS	(WP_015925092.1 or WP_015926773.1 or WP_015926774.1)	600.0	2.2
R_ISETACabcpp	((WP_012634879.1 and WP_012634880.1 and WP_012634881.1) or WP_015924412.1 or WP_015925751.1)	218.66666666666666	0.8
R_ITCY	WP_015924933.1	495.0	1.8
R_IVCS	WP_015925933.1	194.0	0.7
R_KARA1	WP_015926775.1	445.0	1.6
R_KARA2	WP_015926775.1	429.0	1.6
R_KARI_1	WP_015926775.1	445.0	1.6
R_KARI_23dhmp_1	WP_015926775.1	445.0	1.6
R_KAS1	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS11	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS12	((WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1))	198.4	0.7
R_KAS13	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS17	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS2	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS3	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS4	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS6	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS7	((WP_015924231.1 and WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1))	217.33333333333334	0.8
R_KAS8	((WP_015924233.1 and WP_015924235.1 and WP_015925756.1 and WP_015926447.1) or (WP_015924233.1 and WP_015924235.1 and WP_015925756.1) or (WP_015924235.1 and WP_015924722.1))	309.5	1.1
R_Kt1	(WP_015925529.1 or WP_015925530.1)	74.5	0.3
R_Kt2r	WP_041706706.1	346.0	1.3
R_L2OA	WP_015924507.1	234.0	0.9
R_LAAF	(WP_015924726.1 or WP_015924760.1)	738.0	2.7
R_LACZ	(WP_015924532.1 or WP_015924744.1 or WP_015925869.1)	739.0	2.7
R_LACZpp	(WP_012634655.1 or WP_015926750.1)	353.0	1.3
R_LCTSabc	(WP_015924545.1 and WP_015924646.1)	83.66666666666667	0.3
R_LCTSt3ipp	WP_015924438.1	130.0	0.5
R_LCYSTabcpp	((WP_012634879.1 and WP_012634880.1 and WP_012634881.1) or WP_015924412.1)	218.66666666666666	0.8
R_LDH_L	(WP_012634591.1 or WP_015925902.1)	318.0	1.2
R_LEULEUabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_LEUTA	(WP_015925267.1 or WP_041706692.1)	486.0	1.8
R_LEUabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_LEUabcpp	WP_015925098.1	26.25	0.1
R_LMN2	(WP_012634655.1 or WP_015925872.1)	373.0	1.4
R_LTHRK	WP_015925028.1	253.0	0.9
R_LYSDC	WP_012634870.1	479.0	1.7
R_LYSabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_LYSabcpp	WP_015924419.1	120.5	0.4
R_L_LACt2r	WP_015924438.1	125.0	0.5
R_L_LACt2rpp	WP_015925223.1	107.0	0.4
R_L_LACt3	WP_015924438.1	125.0	0.5
R_MALDDH	WP_015925982.1	360.0	1.3
R_MALT	WP_015924523.1	186.0	0.7
R_MALTHPabc	WP_242651738.1	50.333333333333336	0.2
R_MALTHXabc	WP_015926270.1	102.25	0.4
R_MALTTRabc	WP_015926270.1	102.25	0.4
R_MALTabc	((WP_012634654.1 and WP_041706401.1) or (WP_015924545.1 and WP_015924646.1) or (WP_015924647.1 and WP_041706401.1) or WP_015926270.1 or WP_242651738.1)	409.0	1.5
R_MALTt2	WP_041706401.1	140.0	0.5
R_MAN1PT	(WP_012634798.1 or WP_015926792.1)	567.0	2.1
R_MAN1PT2	WP_015926792.1	280.0	1.0
R_MAN6PI	WP_015924689.1	262.0	1.0
R_MANAO	WP_012634593.1	634.0	2.3
R_MANt2	WP_041706401.1	140.0	0.5
R_MB2CFO	WP_015924507.1	258.0	0.9
R_MCBTFUexs	spontaneous	0.0	0.0
R_MCBTS3	WP_015924498.1	71.42857142857143	0.3
R_MCSNAH	(WP_015924439.1 or WP_015926780.1)	370.0	1.4
R_MCTP1App	WP_015925975.1	301.0	1.1
R_MCTP1Bpp	WP_015925975.1	301.0	1.1
R_MCTP2App	WP_015925975.1	301.0	1.1
R_MDDCP1pp	WP_242651755.1	204.0	0.7
R_MDDCP2pp	WP_242651755.1	204.0	0.7
R_MDDCP3pp	WP_242651755.1	204.0	0.7
R_MDDCP4pp	WP_242651755.1	204.0	0.7
R_MDDCP5pp	WP_242651755.1	204.0	0.7
R_MDDEP1pp	WP_015926301.1	103.0	0.4
R_MDDEP2pp	WP_015926301.1	103.0	0.4
R_MDDEP3pp	WP_015926301.1	103.0	0.4
R_MDDEP4pp	WP_015926301.1	103.0	0.4
R_MDH	WP_015925902.1	309.0	1.1
R_ME1	WP_012634592.1	465.0	1.7
R_ME2	WP_012634592.1	514.0	1.9
R_MECDPDH2	WP_012634895.1	427.0	1.6
R_MECDPDH4E	WP_012634895.1	427.0	1.6
R_MELIBt3ipp	WP_015924438.1	130.0	0.5
R_MEOHtex	spontaneous	0.0	0.0
R_MEOHtrpp	spontaneous	0.0	0.0
R_MEPCT	WP_041706854.1	218.0	0.8
R_METAT	(WP_012634541.1 or WP_157668468.1)	595.0	2.2
R_METDabc	(WP_015925751.1 or WP_015926268.1)	54.666666666666664	0.2
R_METDabcpp	WP_015926268.1	81.0	0.3
R_METGLCUR	WP_015925136.1	518.0	1.9
R_METGLCURt2pp	WP_015925141.1	201.0	0.7
R_METOX1s	spontaneous	0.0	0.0
R_METOX2s	spontaneous	0.0	0.0
R_METS	(WP_015925314.1 or WP_242651723.1)	281.0	1.0
R_METSOXR1	WP_015925646.1	60.5	0.2
R_METSOXR2	WP_015925646.1	60.5	0.2
R_METSRabc	WP_015926268.1	53.666666666666664	0.2
R_METSabc	WP_015926268.1	53.666666666666664	0.2
R_METabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1 or WP_015926268.1)	327.0	1.2
R_METabcpp	(WP_015925098.1 or WP_015926268.1)	81.0	0.3
R_MGSA	(WP_015924891.1 or WP_015925971.1 or spontaneous)	166.0	0.6
R_MGt5	(WP_015924432.1 or WP_015925453.1 or WP_242651750.1)	313.0	1.1
R_MI1PP	WP_015925888.1	167.0	0.6
R_MLG	WP_015926077.1	177.0	0.6
R_MLTG1	WP_015924523.1	194.0	0.7
R_MLTG2	WP_015924523.1	194.0	0.7
R_MLTG3	WP_015924523.1	194.0	0.7
R_MLTG4	WP_015924523.1	194.0	0.7
R_MLTG5	WP_015924523.1	194.0	0.7
R_MLTGY1pp	WP_015924355.1	124.0	0.5
R_MLTGY2pp	WP_015924355.1	124.0	0.5
R_MLTGY3pp	WP_015924355.1	124.0	0.5
R_MLTGY4pp	WP_015924355.1	124.0	0.5
R_MN2tipp	WP_015924911.1	127.0	0.5
R_MN6PP	WP_015925642.1	140.0	0.5
R_MNLDH2	WP_015924473.1	166.0	0.6
R_MNLDHr	WP_015924473.1	166.0	0.6
R_MNNH	(WP_012634594.1 or WP_015925140.1)	536.0	2.0
R_MNabc	WP_015925564.1	530.0	1.9
R_MNabc_1	(WP_015926753.1 and WP_015926754.1)	101.33333333333333	0.4
R_MNt2	WP_015924336.1	538.0	2.0
R_MOBDabc	(WP_015925068.1 or WP_157668448.1)	40.333333333333336	0.1
R_MOBDabc_rev	WP_157668448.1	40.333333333333336	0.1
R_MOBDabcpp	WP_015925751.1	27.5	0.1
R_MOHMT	WP_015925252.1	327.0	1.2
R_MPL	WP_015926590.1	343.0	1.3
R_MPTG	((WP_012634926.1 and WP_041706510.1) or WP_012634922.1 or WP_041706510.1)	320.0	1.2
R_MPTG2	((WP_012634926.1 and WP_041706510.1) or WP_041706510.1)	115.0	0.4
R_MSO3abcpp	((WP_012634879.1 and WP_012634880.1 and WP_012634881.1) or WP_015924412.1)	218.66666666666666	0.8
R_MS_1	WP_015925146.1	504.0	1.8
R_MTAN	WP_015924860.1	140.0	0.5
R_MTHFC	WP_015924154.1	311.0	1.1
R_MTHFD	WP_015924154.1	311.0	1.1
R_MTHFR	WP_242651723.1	268.0	1.0
R_MTHFR3	WP_242651723.1	268.0	1.0
R_MTHFR3_1	WP_242651723.1	245.0	0.9
R_MTHTHFSs	spontaneous	0.0	0.0
R_MTRI	WP_015924794.1	316.0	1.2
R_MTRK	WP_015924793.1	275.0	1.0
R_N2Otpp	spontaneous	0.0	0.0
R_NADDP	(WP_015925428.1 or WP_015926298.1)	294.0	1.1
R_NADDPp_1	WP_015925428.1	304.0	1.1
R_NADH4	WP_015924626.1	313.0	1.1
R_NADH6	(WP_015925666.1 and WP_015925667.1 and WP_015925670.1)	492.0	1.8
R_NADHHR	(WP_015925704.1 or spontaneous)	456.0	1.7
R_NADHHS	(WP_015925704.1 or spontaneous)	456.0	1.7
R_NADHPO	WP_015925900.1	297.0	1.1
R_NADHXD	WP_015926288.1	203.0	0.7
R_NADHXE	WP_015926288.1	203.0	0.7
R_NADK	WP_015925351.1	172.0	0.6
R_NADPHHR	(WP_015925704.1 or spontaneous)	456.0	1.7
R_NADPHHS	(WP_015925704.1 or spontaneous)	456.0	1.7
R_NADPHXD	WP_015926288.1	203.0	0.7
R_NADPHXE	WP_015926288.1	203.0	0.7
R_NADS1	WP_015924709.1	658.0	2.4
R_NADS2	WP_015924709.1	658.0	2.4
R_NAPRT	WP_015926340.1	585.0	2.1
R_NAabc	WP_015925939.1	161.0	0.6
R_NAabcO	WP_015925939.1	74.0	0.3
R_NAt3_1	WP_041706802.1	410.0	1.5
R_NAt3_2	WP_015925862.1	242.0	0.9
R_NH3c	spontaneous	0.0	0.0
R_NH4tex	spontaneous	0.0	0.0
R_NH4tpp	spontaneous	0.0	0.0
R_NHFRBO	WP_012634773.1	193.0	0.7
R_NI2t4pp	WP_015924432.1	37.0	0.1
R_NI2uabcpp	((WP_015924692.1 and WP_015924693.1 and WP_015924694.1) or WP_015925233.1)	260.3333333333333	1.0
R_NIabc	WP_015926268.1	87.5	0.3
R_NMNAT	WP_015924865.1	181.0	0.7
R_NMNDA	WP_015924223.1	115.0	0.4
R_NNATr	WP_015924865.1	181.0	0.7
R_NNDPR	WP_015926818.1	305.0	1.1
R_NO3abc	(WP_015924412.1 or WP_041706909.1)	155.0	0.6
R_NO3abcpp	WP_015924412.1	42.75	0.2
R_NOVBCNtex	spontaneous	0.0	0.0
R_NOX	(WP_015924656.1 or WP_015925900.1)	483.0	1.8
R_NOtpp	spontaneous	0.0	0.0
R_NP1_1	WP_015926721.1	281.0	1.0
R_NTD1	(WP_015924684.1 or WP_015925268.1)	216.0	0.8
R_NTD10	(WP_015924684.1 or WP_015925936.1)	275.0	1.0
R_NTD12	WP_015925268.1	216.0	0.8
R_NTD2	WP_015924684.1	163.0	0.6
R_NTD3	(WP_015924684.1 or WP_015925268.1)	216.0	0.8
R_NTD4	WP_015924684.1	163.0	0.6
R_NTD5	(WP_015924684.1 or WP_015925268.1)	216.0	0.8
R_NTD6	(WP_015924684.1 or WP_015925268.1 or WP_015925936.1)	275.0	1.0
R_NTD7	(WP_015924684.1 or WP_015925936.1)	275.0	1.0
R_NTD8	(WP_015924684.1 or WP_015925268.1 or WP_015925936.1)	275.0	1.0
R_NTD9	(WP_015924684.1 or WP_015925936.1)	275.0	1.0
R_NTP1	WP_015925263.1	280.0	1.0
R_NTP3	((WP_012634769.1 and WP_012634770.1 and WP_015924569.1) or WP_012634769.1 or WP_015926704.1 or WP_049756794.1)	839.0	3.1
R_NTP5	WP_015924854.1	288.0	1.1
R_NTPP1	WP_015926437.1	271.0	1.0
R_NTPP10	WP_015926437.1	271.0	1.0
R_NTPP2	WP_015926437.1	271.0	1.0
R_NTPP3	WP_015926437.1	271.0	1.0
R_NTPP4	WP_015926437.1	271.0	1.0
R_NTPP5	WP_015926437.1	271.0	1.0
R_NTPP6	WP_015926437.1	271.0	1.0
R_NTPP7	(WP_015925980.1 or WP_015926437.1)	271.0	1.0
R_NTPP8	(WP_015925980.1 or WP_015926437.1)	271.0	1.0
R_NTPP9	WP_015926437.1	271.0	1.0
R_NTPTP1	WP_015925269.1	155.0	0.6
R_O2tex	spontaneous	0.0	0.0
R_O2tpp	spontaneous	0.0	0.0
R_OAADC	(WP_012634592.1 or WP_015925138.1)	464.0	1.7
R_OBTFL	(WP_015925996.1 or WP_015925997.1)	1097.0	4.0
R_OCBT	WP_015926276.1	319.0	1.2
R_OCBT_1	WP_015926276.1	348.0	1.3
R_OHCUDC2	spontaneous	0.0	0.0
R_OIVD1r	WP_015926789.1	82.0	0.3
R_OIVD2	WP_015926789.1	82.0	0.3
R_OIVD3	WP_015926789.1	82.0	0.3
R_OMCDC	(WP_012634582.1 or spontaneous)	441.0	1.6
R_OMPDC	WP_015924164.1	211.0	0.8
R_ORNDC	WP_012634870.1	479.0	1.7
R_ORNTA	WP_015926273.1	367.0	1.3
R_ORNTAC	WP_015925544.1	384.0	1.4
